x_km,y_km,z_km,tsec
-5189.642218311146,2777.254053438408,3918.462327571027,0.0
-5191.366744776733,2714.604007944241,3959.8724779228437,10.0
-5192.505994871551,2651.6479171105816,4000.836190968948,20.0
-5193.059841767791,2588.39287945012,4041.348849689061,30.0
-5193.028224839623,2524.846027240868,4081.405888098104,40.0
-5192.411149669262,2461.0145257142317,4121.002791765083,50.0
-5191.208688045426,2396.905572239316,4160.135098326021,60.0
-5189.420977954165,2332.52639550355,4198.79839799087,70.0
-5187.048223562066,2267.8842546897286,4236.9883340443785,80.0
-5184.090695191844,2202.9864386495788,4274.7006033408,90.0
-5180.548729290307,2137.840265073931,4311.930956792434,100.0
-5176.422728388716,2072.4530796596086,4348.675199851919,110.0
-5171.713161055532,2006.832255273127,4384.929192988224,120.0
-5166.42056184157,1940.9851911113014,4420.68885215628,130.0
-5160.545531217552,1874.9193118588648,4455.950149260213,140.0
-5154.088735504074,1808.642066843192,4490.7091126101,150.0
-5147.050906794006,1742.1609291862349,4524.961827372215,160.0
-5139.43284286731,1675.4833949537665,4558.704436012702,170.0
-5131.235407098319,1608.6169823020293,4591.933138734625,180.0
-5122.45952835546,1541.5692306219,4624.644193908352,190.0
-5113.106200893445,1474.3476996806585,4656.833918495211,200.0
-5103.17648423796,1406.9599687614773,4688.498688464379,210.0
-5092.671503062827,1339.4136358007172,4719.634939202947,220.0
-5081.592447059705,1271.7163165231427,4750.239165919122,230.0
-5069.940570800297,1203.8756435751566,4780.307924038516,240.0
-5057.717193591115,1135.8992656561516,4809.83782959348,250.0
-5044.92369932081,1067.7948466480861,4838.825559605419,260.0
-5031.561536300082,999.570064743387,4867.267852460084,270.0
-5017.632217094192,931.2326115712776,4895.1615082757535,280.0
-5003.13731834811,862.7901913226443,4922.503389264292,290.0
-4988.078480604289,794.2505198735257,4949.290420085032,300.0
-4972.457408113134,725.6213239073506,4975.519588191445,310.0
-4956.27586863614,656.910340036014,5001.187944170557,320.0
-4939.535693241767,588.1253139198955,5026.292602075075,330.0
-4922.238776094044,519.2739993869294,5050.830739748177,340.0
-4904.387074233947,450.3641575508263,5074.799599140947,350.0
-4885.982607353577,381.4035559285484,5098.196486622395,360.0
-4867.027457563164,312.39996755715055,5121.01877328206,370.0
-4847.523769150909,243.36117011007593,5143.263895225113,380.0
-4827.4737483357285,174.29494501302653,5164.929353859985,390.0
-4806.879663012907,105.2090765595081,5186.012716178453,400.0
-4785.743842492681,36.1113510261357,5206.511615028135,410.0
-4764.068677231826,-32.99044421216377,5226.423749377426,420.0
-4741.856618558232,-102.08852156697894,5245.7468845727835,430.0
-4719.110178388534,-171.175094121147,5264.478852588357,440.0
-4695.831928938824,-240.24237651330213,5282.617552267948,450.0
-4672.02450242847,-309.2825858221205,5300.160949559263,460.0
-4647.6905907771,-378.28794245018133,5317.107077740414,470.0
-4622.832945294755,-447.250671007317,5333.454037638683,480.0
-4597.454376365297,-516.1630011933538,5349.199997841488,490.0
-4571.557753123056,-585.0171686801658,5364.343194899555,500.0
-4545.1460031228,-653.8054159928914,5378.881933522268,510.0
-4518.222112003046,-722.5199933902558,5392.814586765149,520.0
-4490.789123142759,-791.1531597438693,5406.139596209503,530.0
-4462.850137311488,-859.6971834164049,5418.855472134155,540.0
-4434.408312312952,-928.1443431385624,5430.960793679298,550.0
-4405.466862622181,-996.4869288846999,5442.454209002413,560.0
-4376.029059016177,-1064.7172427470452,5453.334435426258,570.0
-4346.098228198211,-1132.8275998083793,5463.600259578907,580.0
-4315.677752415752,-1200.810329013092,5473.250537525819,590.0
-4284.771069072116,-1268.6577740365008,5482.284194893946,600.0
-4253.381670331837,-1336.362294152353,5490.700226987831,610.0
-4221.513102719845,-1403.9162650983822,5498.497698897726,620.0
-4189.168966714491,-1471.312079939843,5505.675745599681,630.0
-4156.352916334456,-1538.5421499309068,5512.23357204764,640.0
-4123.0686587196,-1605.5989053738342,5518.170453257481,650.0
-4089.319953705818,-1672.4747964758071,5523.485734383045,660.0
-4055.1106133939334,-1739.1622942033384,5528.178830784121,670.0
-4020.4445017126804,-1805.6538911341513,5532.249228086369,680.0
-3985.325533975851,-1871.942102306434,5535.696482233225,690.0
-3949.7576764336422,-1938.0194660653592,5538.520219529722,700.0
-3913.744945818259,-2003.878544906796,5540.72013667829,710.0
-3877.2914088838284,-2069.5119263180954,5542.296000806461,720.0
-3840.401181940688,-2134.912223615861,5543.247649486556,730.0
-3803.078430384103,-2200.072076780604,5543.574990747299,740.0
-3765.327368217453,-2264.9841532881965,5543.2780030773765,750.0
-3727.152257569972,-2329.641148938014,5542.356735420952,760.0
-3688.5574082090757,-2394.0357886776947,5540.811307165136,770.0
-3649.547177047355,-2458.1608274243804,5538.641908119406,780.0
-3610.125967644275,-2522.0090508824032,5535.848798487,790.0
-3570.2982297026583,-2585.5732763572632,5532.432308828265,800.0
-3530.0684585599997,-2648.846353565853,5528.392840016004,810.0
-3489.4411946746836,-2711.8211654428023,5523.730863182788,820.0
-3448.42102310715,-2774.4906289428886,5518.446919660277,830.0
-3407.012572996096,-2836.8476958393667,5512.541620910544,840.0
-3365.22051702974,-2898.8853535181916,5506.0156484494055,850.0
-3323.0495709122683,-2960.5966257679906,5498.8697537618045,860.0
-3280.5044928254442,-3021.974573565725,5491.104758209206,870.0
-3237.5900828855347,-3083.0122958579514,5482.7215529290725,880.0
-3194.3111825955534,-3143.70293033757,5473.721098726399,890.0
-3150.6726742929222,-3204.039654216,5464.104425957344,900.0
-3106.6794805925833,-3264.0156849906934,5453.872634404946,910.0
-3062.3365638256782,-3323.6242812078635,5443.026893146995,920.0
-3017.6489254738017,-3382.858743220404,5431.5684404160065,930.0
-2972.6216055989457,-3441.712413940852,5419.4985834513855,940.0
-2927.259682269171,-3500.1786795893563,5406.818698343759,950.0
-2881.5682709800963,-3558.250970436534,5393.530229871508,960.0
-2835.5525240722495,-3615.9227615411623,5379.634691329533,970.0
-2789.217630144369,-3673.1875734825953,5365.133664350259,980.0
-2742.568813462729,-3730.038973087841,5350.028798716922,990.0
-2695.611333366528,-3786.4705741532084,5334.321812169139,1000.0
-2648.35048366945,-3842.4760381604565,5318.014490200823,1010.0
-2600.79159205743,-3898.049074987353,5301.108685850416,1020.0
-2552.940019482736,-3953.1834436125637,5283.606319483533,1030.0
-2504.8011595544017,-4007.872952814806,5265.509378567993,1040.0
-2456.3804379251037,-4062.1114618661763,5246.819917441285,1050.0
-2407.683311674544,-4115.892881219581,5227.540057070505,1060.0
-2358.715268689421,-4169.2111731902005,5207.671984804798,1070.0
-2309.481827040053,-4222.0603526308905,5187.217954120307,1080.0
-2259.988534353723,-4274.434487601479,5166.180284357705,1090.0
-2210.240967184838,-4326.3277000318485,5144.561360452313,1100.0
-2160.244730381956,-4377.734166378754,5122.363632656846,1110.0
-2110.005456451752,-4428.648118276312,5099.58961625683,1120.0
-2059.528804920029,-4479.063843180059,5076.2418912787125,1130.0
-2008.820461689807,-4528.975685004536,5052.323102190721,1140.0
-1957.8861383965955,-4578.378044754314,5027.835957596493,1150.0
-1906.7315717609067,-4627.265381148413,5002.783229921514,1160.0
-1855.3625229380946,-4675.632211238005,4977.167755092415,1170.0
-1803.7847768655947,-4723.473111017386,4950.992432209173,1180.0
-1752.0041416076308,-4770.782716028111,4924.260223210231,1190.0
-1700.0264476974717,-4817.555721956243,4896.974152530595,1200.0
-1647.8575474773252,-4863.786885222653,4869.137306752974,1210.0
-1595.5033144359197,-4909.471023566293,4840.7528342519445,1220.0
-1542.9696425438717,-4954.603016620411,4811.823944831257,1230.0
-1490.2624455869077,-4999.177806481589,4782.353909354267,1240.0
-1437.387656497013,-5043.190398271626,4752.346059367577,1250.0
-1384.3512266816076,-5086.635860692111,4721.803786717928,1260.0
-1331.1591253507777,-5129.509326571709,4690.73054316235,1270.0
-1277.817338842703,-5171.805993406046,4659.129839971687,1280.0
-1224.3318699473039,-5213.5211238901675,4627.005247527487,1290.0
-1170.7087372282149,-5254.650046443505,4594.360394912327,1300.0
-1116.9539743431508,-5295.188155727282,4561.19896949363,1310.0
-1063.073629362758,-5335.13091315432,4527.524716501016,1320.0
-1009.0737640880022,-5374.473847391193,4493.341438597235,1330.0
-954.9604533661964,-5413.212554852661,4458.652995442739,1340.0
-900.7397844057347,-5451.342700188353,4423.4633032539505,1350.0
-846.4178560896066,-5488.860016761619,4387.776334355263,1360.0
-792.0007782877908,-5525.760307120539,4351.5961167248615,1370.0
-737.4946711685722,-5562.039443461002,4314.926733534367,1380.0
-682.9056645088926,-5597.693368081828,4277.772322682408,1390.0
-628.2398970037983,-5632.718093831894,4240.137076322155,1400.0
-573.5035155750617,-5667.109704549184,4202.025240382861,1410.0
-518.7026746790568,-5700.864355491763,4163.441114085486,1420.0
-463.8435356139833,-5733.978273760587,4124.389049452473,1430.0
-408.93226582648083,-5766.44775871414,4084.873450811684,1440.0
-353.97503821775206,-5798.269182374832,4044.8987742946088,1450.0
-298.97803044924484,-5829.438989827134,4004.4695273288844,1460.0
-243.94742424798272,-5859.953699607393,3963.590268125175,1470.0
-188.88940471162874,-5889.809904085307,3922.265605158495,1480.0
-133.8101596133409,-5919.004269836997,3880.5001966440122,1490.0
-78.71587870651648,-5947.533538009673,3838.2987500074223,1500.0
-23.61275302949536,-5975.39452467781,3795.6660213499167,1510.0
31.493025789702266,-6002.584121190846,3752.60681490785,1520.0
86.5952662285205,-6029.0992945123435,3709.125982507144,1530.0
141.6877775648197,-6054.937087550577,3665.228423012487,1540.0
196.76437057155488,-6080.094619480529,3620.919081771425,1550.0
251.81885821111152,-6104.5690860572495,3576.202950053372,1560.0
306.8450563292118,-6128.357759920557,3531.0850644836214,1570.0
361.8367843483198,-6151.4579908910555,3485.570506472433,1580.0
416.7878659604618,-6173.867206257413,3439.66440163925,1590.0
471.69212981939694,-6195.582911054921,3393.3719192321114,1600.0
526.5434102320467,-6216.602688335256,3346.6982715423364,1610.0
581.3355478491173,-6236.924199427448,3299.64871331454,1620.0
636.0623903548358,-6256.545184190046,3252.228541152056,1630.0
690.7177931557222,-6275.463461254403,3204.443092917823,1640.0
745.2956200683138,-6293.676928259114,3156.297747130822,1650.0
799.7897440057874,-6311.183562075565,3107.7979223581174,1660.0
854.1940476633785,-6327.981419024552,3058.949076602579,1670.0
908.5024242025399,-6344.068635083986,3009.75670668635,1680.0
962.7087779337595,-6359.443426087648,2960.2263476301423,1690.0
1016.8070249979475,-6374.104087914955,2910.363572028421,1700.0
1070.7910940463485,-6388.048996671781,2860.1739894205534,1710.0
1124.6549269188743,-6401.276608862241,2809.6632456579855,1720.0
1178.3924793208032,-6413.78546155148,2758.8370222675344,1730.0
1231.9977214977516,-6425.57417251944,2707.701035810863,1740.0
1285.4646389088784,-6436.641440405571,2656.2610372401823,1750.0
1338.7872328981953,-6446.986044844507,2604.5228112503232,1760.0
1391.9595213639693,-6456.606846592668,2552.4921756271638,1770.0
1444.9755394260978,-6465.502787645797,2500.174980592553,1780.0
1497.8293400914108,-6473.672891347421,2447.5771081457774,1790.0
1550.514994916813,-6481.11626248821,2394.704471401645,1800.0
1603.0265946702023,-6487.832087396266,2341.563013925271,1810.0
1655.3582499890833,-6493.819634018293,2288.1587090636326,1820.0
1707.5040920368215,-6499.078251991665,2234.497559273965,1830.0
1759.458273156446,-6503.607372707402,2180.585595449089,1840.0
1811.2149675219455,-6507.406509364018,2126.428876239729,1850.0
1862.7683717869825,-6510.47525701227,2072.0334873739025,1860.0
1914.1127057309434,-6512.813292590788,2017.405540973476,1870.0
1965.2422129022807,-6514.420374952594,1962.5511748679257,1880.0
2016.1511612590546,-6515.296344882524,1907.4765519054197,1890.0
2066.83384380662,-6515.441125105514,1852.1878592612602,1900.0
2117.2845792323665,-6514.854720285815,1796.6913077438155,1910.0
2167.4977125374835,-6513.537217017079,1740.9931310979512,1920.0
2217.4676156656387,-6511.488783803377,1685.099585306105,1930.0
2267.1886881285436,-6508.709671031097,1629.0169478870184,1940.0
2316.65535762829,-6505.200210931792,1572.7515171922762,1950.0
2365.862080676444,-6500.960817535935,1516.3096117006621,1960.0
2414.8033432097964,-6495.99198661762,1459.6975693104496,1970.0
2463.4736612027095,-6490.294295630197,1402.9217466296946,1980.0
2511.8675812760007,-6483.8684036328805,1345.9885182646183,1990.0
2559.979681302305,-6476.715051208316,1288.9042761061298,2000.0
2607.8045710078186,-6468.835060371133,1231.6754286146183,2010.0
2655.336892570414,-6460.229334467492,1174.3084001030272,2020.0
2702.5713212140026,-6450.898858065643,1116.8096300183647,2030.0
2749.5025657991346,-6440.844696837514,1059.1855722216508,2040.0
2796.1253694097327,-6430.067997431335,1001.442694266453,2050.0
2842.434509935918,-6418.5699873353415,943.5874766760442,2060.0
2888.4248006528765,-6406.351974732527,885.6264122192574,2070.0
2934.09109079566,-6393.415348346533,827.5660051851795,2080.0
2979.428266129932,-6379.761577278622,769.4127706566553,2090.0
3024.4312495185104,-6365.392210835822,711.173233782815,2100.0
3069.095001483737,-6350.308878350214,652.8539290505701,2110.0
3113.414520765539,-6334.513288989418,594.4613995552645,2120.0
3157.3848448751764,-6318.007231558284,536.0021962704983,2130.0
3201.001050644589,-6300.792574291824,477.48287731722064,2140.0
3244.258254771272,-6282.871264639402,418.9100072322043,2150.0
3287.151614358687,-6264.245329040217,360.2901562358971,2160.0
3329.6763274520704,-6244.916872690087,301.62989949982494,2170.0
3371.8276335696187,-6224.888079299609,242.93581641359435,2180.0
3413.6008142290275,-6204.161210843665,184.21448985151667,2190.0
3454.9911934692573,-6182.738607302346,125.47250543903536,2200.0
3495.994138367549,-6160.622686393306,66.71645081893391,2210.0
3536.6050595515644,-6137.8159432955945,7.952914917498134,2220.0
3576.81941170664,-6114.320950364981,-50.811512789353564,2230.0
3616.632694078117,-6090.14035684082,-109.57024300989885,2240.0
3656.0404509686127,-6065.276888544479,-168.31668737022284,2250.0
3695.038272230307,-6039.733347569388,-227.04425914768686,2260.0
3733.6217937520673,-6013.512611962699,-285.7463740040337,2270.0
3771.786697941432,-5986.6176353986775,-344.4164507181094,2280.0
3809.5287142014095,-5959.05144684375,-403.0479119181577,2290.0
3846.8436194019914,-5930.817150213356,-461.6341848135432,2300.0
3883.7272383463696,-5901.917924020567,-520.1687019258491,2310.0
3920.1754442318042,-5872.357021016561,-578.64490181929,2320.0
3956.184159105082,-5842.137767822962,-637.0562298303385,2330.0
3991.7493543125274,-5811.263564556106,-695.3961387964945,2340.0
4026.867050944508,-5779.7378844432715,-753.6580897841039,2350.0
4061.5333202744155,-5747.564273430906,-811.8355528152011,2360.0
4095.7442841920342,-5714.746349784929,-869.9220075932009,2370.0
4129.496115631296,-5681.287803683098,-927.9109442274842,2380.0
4162.785038992343,-5647.192396799544,-985.795863956687,2390.0
4195.607330557868,-5612.463961881501,-1043.5702798706718,2400.0
4227.959318903703,-5577.106402318236,-1101.2277176311256,2410.0
4259.837385303582,-5541.123691702318,-1158.7617161906435,2420.0
4291.23796412806,-5504.519873383182,-1216.165828510264,2430.0
4322.15754323755,-5467.299060013098,-1273.4336222753846,2440.0
4352.592664369408,-5429.465433085573,-1330.5586806099443,2450.0
4382.539923519066,-5391.023242466241,-1387.5346027888409,2460.0
4411.995971315137,-5351.976805916299,-1444.3550049484636,2470.0
4440.957513388474,-5312.330508608523,-1501.013520795306,2480.0
4469.42131073515,-5272.088802635945,-1557.5038023125537,2490.0
4497.384180073294,-5231.256206513236,-1613.819520464579,2500.0
4524.84299419378,-5189.837304670827,-1669.9543658992814,2510.0
