x_km,y_km,z_km,tsec
-5189.642218311146,2777.254053438408,3918.462327571027,0.0
-5191.3649398522575,2714.6057328236725,3959.8649808469872,10.0
-5192.502384016434,2651.6513660449377,4000.8211967381862,20.0
-5193.054422942243,2588.3980508035743,4041.3263581069136,30.0
-5193.020994940848,2524.852918581974,4081.3758988085406,40.0
-5192.402104502788,2461.0231338330805,4120.965304210196,50.0
-5191.197822297122,2396.915893166129,4160.090111703494,60.0
-5189.408285163014,2332.5384245287178,4198.745911211297,70.0
-5187.033696093682,2267.8979863852805,4236.928345688449,80.0
-5184.074324212788,2203.001866892075,4274.633111616382,90.0
-5180.5305047432175,2137.8573830687756,4311.855959491614,100.0
-5176.402638968261,2072.471879966768,4348.592694307991,110.0
-5171.691194185245,2006.8527298342494,4384.839176032692,120.0
-5166.396703651549,1941.0073312782174,4420.591320075895,130.0
-5160.519766523081,1874.9431084234716,4455.845097754074,140.0
-5154.061047785171,1808.6675100686928,4490.596536746861,150.0
-5147.021278175922,1742.188008839733,4524.841721547421,160.0
-5139.40125410201,1675.5121003401887,4558.576793906301,170.0
-5131.201837546953,1608.6473022993755,4591.797953268671,180.0
-5122.42395597185,1541.601153717789,4624.501457204951,190.0
-5113.068602208623,1474.3812140101663,4656.683621834723,200.0
-5103.136834345742,1406.99506214624,4688.340822243926,210.0
-5092.62977560649,1339.4502957892869,4719.469492895255,220.0
-5081.548614219732,1271.7545304325708,4750.066128031723,230.0
-5069.89460328326,1203.9153985337914,4780.127282073355,240.0
-5057.669060619673,1135.9405486476194,4809.64957000694,250.0
-5044.873368624861,1067.8376445564447,4838.629667768827,260.0
-5031.508974109077,999.6143643994238,4867.064312620695,270.0
-5017.577388130641,931.2783997999264,4894.950303518275,280.0
-5003.08018582226,862.8374549914984,4922.284501472958,290.0
-4988.019006210036,794.2992459424256,4949.0638299062775,300.0
-4972.395552025143,725.6714994790192,4975.285274997195,310.0
-4956.211589508208,656.9619524077086,5000.945886022178,320.0
-4939.468948206432,588.1783506360529,5026.042775687997,330.0
-4922.16952076346,519.3284482927779,5050.573120457251,340.0
-4904.315262702032,450.4200068469341,5074.534160866533,350.0
-4885.908192199437,381.4607942262782,5097.923201837238,360.0
-4866.95038985581,312.45858393498855,5120.737612978953,370.0
-4847.443998455288,243.42115417081632,5142.974828885425,380.0
-4827.391222720052,174.3562869417633,5164.632349423028,390.0
-4806.794329057301,105.27176718241164,5185.707740011754,400.0
-4785.655645299166,36.1753818699858,5206.198631898629,410.0
-4763.977560435625,-32.92508085973041,5226.102722423601,420.0
-4741.762524340409,-102.02183259653624,5245.417775277788,430.0
-4719.013047489992,-171.107085539892,5264.141620754139,440.0
-4695.7317006756275,-240.1730533828573,5282.272155990404,450.0
-4671.921114708536,-309.21195219575253,5299.807345204447,460.0
-4647.583980118225,-378.21600130947274,5316.745219921838,470.0
-4622.72304684401,-447.1774241983304,5333.083879195715,480.0
-4597.341123919768,-516.0884493623274,5348.821489818896,490.0
-4571.441079151944,-584.94131120876,5363.956286528198,500.0
-4545.025838790878,-653.7282509330578,5378.486572200964,510.0
-4518.098387195466,-722.4415173987271,5392.41071804376,520.0
-4490.6617664912155,-791.0733680163439,5405.727163773241,530.0
-4462.719076221725,-859.6160696214363,5418.434417789132,540.0
-4434.27347299363,-928.0618993512091,5430.531057339345,550.0
-4405.3281701150645,-996.4031455199752,5442.015728677198,560.0
-4375.886437227683,-1064.6321084931965,5452.8871472107085,570.0
-4345.951599932274,-1132.7411015600462,5463.144097643962,580.0
-4315.5270394080235,-1200.7224518043774,5472.785434110535,590.0
-4284.616192025474,-1268.5685009740055,5481.81008029896,600.0
-4253.222548953209,-1336.271606348201,5490.21702957022,610.0
-4221.349655758344,-1403.8241416032822,5498.005345067258,620.0
-4189.001112000822,-1471.2184976762444,5505.174159816497,630.0
-4156.18057082163,-1538.4470836262587,5511.72267682135,640.0
-4122.891738524901,-1605.5023274940147,5517.650169147725,650.0
-4089.1383741540385,-1672.376677158764,5522.95598000151,660.0
-4054.924289061854,-1739.062601192969,5527.63952279803,670.0
-4020.2533464747885,-1805.552589714471,5531.700281223466,680.0
-3985.129461051278,-1871.8391552360786,5535.1378092882505,690.0
-3949.5565984343098,-1937.914833512459,5537.9517313724145,700.0
-3913.5387747982104,-2003.7721843842646,5540.1417422628865,710.0
-3877.0800563897405,-2069.403792619378,5541.707607182754,720.0
-3840.184559063546,-2134.802268751177,5542.649161812474,730.0
-3802.856447812008,-2199.9602499137354,5542.9663123030405,740.0
-3765.0999362895536,-2264.870400673862,5542.659035281096,750.0
-3726.91928633151,-2329.525413859869,5541.727377846023,760.0
-3688.31880746751,-2393.918011386985,5540.171457558958,770.0
-3649.3028564295482,-2458.0409450793336,5537.9914624238045,780.0
-3609.8758366547345,-2521.8869974883405,5535.187650860192,790.0
-3570.0421977827914,-2585.448982707525,5531.760351668413,800.0
-3529.8064351483777,-2648.719747183554,5527.709963986349,810.0
-3489.1730892682754,-2711.6921705234613,5523.036957238366,820.0
-3448.1467453235214,-2774.359166297968,5517.741871076222,830.0
-3406.732032636532,-2836.7136828407856,5511.8253153119795,840.0
-3364.9336241432866,-2898.7487040438205,5505.287969842922,850.0
-3322.756235860634,-2960.457250148192,5498.130584568507,860.0
-3280.2046263487823,-3021.8323785309767,5490.353979299362,870.0
-3237.283596169044,-3082.8671844875716,5481.959043658329,880.0
