x_km,y_km,z_km,tsec
-5189.642218311145,2777.2540534384075,3918.4623275710264,0.0
-5191.359924268552,2714.5969638199326,3959.865718233688,10.0
-5192.492351770016,2651.6338281694975,4000.8226701719927,20.0
-5193.039371911402,2588.37174437583,4041.3285649134173,30.0
-5193.000922001575,2524.8178441680075,4081.3788349852584,40.0
-5192.377005570003,2460.9792923038362,4120.968964434944,50.0
-5191.167692366716,2396.8632857544026,4160.094489344402,60.0
-5189.37311835463,2332.477052884905,4198.750998338443,70.0
-5186.993485694242,2267.827852631863,4236.934133087082,80.0
-5184.029062720691,2202.9229736767998,4274.639588801747,90.0
-5180.480183913188,2137.7697336164865,4311.863114725315,100.0
-5176.3472498568135,2072.3754781298653,4348.600514615921,110.0
-5171.630727196705,2006.7475801417256,4384.847647224471,120.0
-5166.331148584621,1940.8934389832625,4420.600426765815,130.0
-5160.449112617895,1874.8204795495833,4455.854823383526,140.0
-5153.985283770786,1808.5361514542867,4490.606863608207,150.0
-5146.940392318242,1742.0479281812059,4524.852630809311,160.0
-5139.315234252072,1675.3633062334159,4558.5882656403855,170.0
-5131.110671189544,1608.4898042796015,4591.809966477698,180.0
-5122.3276302744225,1541.434962297898,4624.513989852215,190.0
-5112.96710407045,1474.2063407172955,4656.696650874844,200.0
-5103.030150447299,1406.811519556716,4688.354323654922,210.0
-5092.517892458985,1339.2580975618546,4719.483441711882,220.0
-5081.431518214789,1271.5536913399026,4750.0804983800645,230.0
-5069.772280742668,1203.7059344922375,4780.142047206601,240.0
-5057.5414978452,1135.7224767452035,4809.664702342363,250.0
-5044.740551948065,1067.6109830790526,4838.645138925889,260.0
-5031.370889941089,999.3791328551948,4867.080093460274,270.0
-5017.434023011867,931.0346189418178,4894.966364182965,280.0
-5002.9315264719735,862.585146838,4922.300811428421,290.0
-4987.86503957581,794.0384337964266,4949.0803579835965,300.0
-4972.236265332092,725.4022079447941,4975.301989436216,310.0
-4956.046970307991,656.6842074060224,5000.962754515772,320.0
-4939.298984425975,587.892179417371,5026.059765427247,330.0
-4921.994200753367,519.0338794485652,5050.590198177485,340.0
-4904.134575284636,450.11707031903495,5074.551292894199,350.0
-4885.722126716466,381.149521314381,5097.9403541375605,360.0
-4866.758936215601,312.1390073021467,5120.754751204352,370.0
-4847.247147179543,243.09330784703974,5142.9919184246355,380.0
-4827.188964990071,174.02020632566243,5164.649355450903,390.0
-4806.586656759674,104.92748904090165,5185.7246275396965,400.0
-4785.442551070868,35.82294433603673,5206.215365825619,410.0
-4763.759037708488,-33.285638291290724,5226.119267587776,420.0
-4741.538567384933,-102.39046907516521,5245.434096508538,430.0
-4718.783651458449,-171.48375886742323,5264.15768292466,440.0
-4695.496861644436,-240.55772002353754,5282.2879240707,450.0
-4671.680829719855,-309.6045672882181,5299.822784314702,460.0
-4647.338247220748,-378.6165186806603,5316.760295386149,470.0
-4622.471865132911,-447.5857963793136,5333.098556596111,480.0
-4597.084493575765,-516.5046276060827,5348.835735049627,490.0
-4571.17900147946,-585.3652455098367,5363.970065850242,500.0
-4544.758316255243,-654.1598900491554,5378.499852296699,510.0
-4517.825423459155,-722.8808088741631,5392.423466071786,520.0
-4490.383366449063,-791.5202582073942,5405.73934742326,530.0
-4462.435246035103,-860.0705037235537,5418.446005336903,540.0
