x_km,y_km,z_km,tsec
-5189.642218311146,2777.254053438408,3918.462327571027,0.0
-5191.361235653079,2714.601255089598,3959.857052257492,10.0
-5192.494973830618,2651.642409933063,4000.8053387682476,20.0
-5193.043303190777,2588.384615073811,4041.302569140207,30.0
-5193.006160249804,2524.8350014501843,4081.3441763665205,40.0
-5192.383547701144,2461.000733024072,4120.925644916037,50.0
-5191.175534415806,2396.8890059673076,4160.042511246852,60.0
-5189.382255435138,2332.507047844362,4198.690364313921,70.0
-5187.003911956004,2267.8621167914134,4236.864846070633,80.0
-5184.040771308366,2202.9615006918993,4274.561651964317,90.0
-5180.493166925283,2137.812516348643,4311.776531425626,100.0
-5176.361498305307,2072.4225086526512,4348.5052883517055,110.0
-5171.646230967309,2006.7988497486847,4384.743781583131,120.0
-5166.3478963977195,1940.9489381976928,4420.487925374541,130.0
-5160.467091990202,1874.8801981362146,4455.733689858899,140.0
-5154.0044809777555,1808.600078432843,4490.477101505356,150.0
-5146.9607923572585,1742.1160518418542,4524.714243570628,160.0
-5139.336820806477,1675.4356141540952,4558.44125654388,170.0
-5131.133426593512,1608.5662833452338,4591.654338585004,180.0
-5122.351535478748,1541.5155987214735,4624.3497459563005,190.0
-5112.99213860925,1474.291120062818,4656.523793447478,200.0
-5103.056292405694,1406.9004267640148,4688.172854793919,210.0
-5092.545118441778,1339.3511169732442,4719.293363088193,220.0
-5081.459803316167,1271.6508067286784,4749.881811184721,230.0
-5069.801598516989,1203.8071290930093,4779.934752097614,240.0
-5057.57182027886,1135.8277332860318,4809.448799391551,250.0
-5044.7718494325145,1067.7202838154042,4838.420627565732,260.0
-5031.403131246992,999.4924596056685,4866.846972430813,270.0
-5017.467175264465,931.151953125653,4894.724631478798,280.0
-5002.965555127675,862.7064695143342,4922.0504642458345,290.0
-4987.899908400021,794.1637257052909,4948.821392667884,300.0
-4972.271936378333,725.5314495498217,4975.034401429214,310.0
-4956.083403898321,656.8173789388503,5000.686538303683,320.0
-4939.33613913276,588.0292609237227,5025.774914488758,330.0
