x_km,y_km,z_km,tsec
-5189.642218311147,2777.254053438408,3918.4623275710273,0.0
-5191.367472650499,2714.6007744219464,3959.8679838526355,10.0
-5192.507449736612,2651.641450013633,4000.8272027236294,20.0
-5193.062021860165,2588.3831786921987,4041.335367048167,30.0
-5193.031127515274,2524.833092721897,4081.3879107142743,40.0
-5192.414771406028,2460.9983573407067,4120.980319153054,50.0
-5191.213024445401,2396.88616994475,4160.108129851945,60.0
-5189.426023746543,2332.5037592690314,4198.766932861994,70.0
-5187.053972606436,2267.8583845645703,4236.952371299044,80.0
-5184.097140481945,2202.95733477205,4274.660141838809,90.0
-5180.555862958229,2137.8079276920594,4311.885995205767,100.0
-5176.430541709559,2072.417509152044,4348.625736655811,110.0
-5171.721644452504,2006.7934521700467,4384.875226452605,120.0
-5166.429704891532,1940.9431561153556,4420.630380337594,130.0
-5160.555322657008,1874.874045866141,4455.887169993603,140.0
-5154.099163235592,1808.593570964191,4490.641623501971,150.0
-5147.061957893076,1742.1092047668476,4524.889825793187,160.0
-5139.444503589639,1675.428443596232,4558.627919090944,170.0
-5131.247662887539,1608.5588058858727,4591.85210334958,180.0
-5122.472363851273,1541.5078313248284,4624.558636684856,190.0
-5113.119599940182,1474.2830799994103,4656.743835798006,200.0
-5103.190429893545,1406.8921315326063,4688.404076393031,210.0
-5092.6859776081665,1339.3425842213048,4719.535793587155,220.0
-5081.607432008465,1271.6420541714253,4750.1354823144475,230.0
-5069.956046909096,1203.7981744310507,4780.199697722505,240.0
-5057.733140870096,1135.818594121675,4809.7250555621995,250.0
-5044.94009704461,1067.7109775676515,4838.708232570404,260.0
-5031.578363019187,999.4830034239674,4867.145966845698,270.0
-5017.6494506466615,931.142363802424,4895.03505821696,280.0
-5003.154935871674,862.6967633963426,4922.372368604841,290.0
-4988.096458548821,794.1539186038927,4949.154822376063,300.0
-4972.475722253467,725.5215566501449,4975.379406690512,310.0
-4956.2944940852485,656.807414707956,5001.043171841058,320.0
-4939.554604464285,588.019239017785,5026.143231586104,330.0
-4922.257946920129,519.1647840065485,5050.676763474804,340.0
-4904.406477873477,450.2518114056173,5074.641009164896,350.0
-4886.002216410665,381.2880893680554,5098.033274733154,360.0
-4867.047244050993,312.2813915852113,5120.850930978396,370.0
-4847.543704506882,243.23949640275865,5143.091413717013,380.0
-4827.493803436922,174.1701859362988,5164.752224071002,390.0
-4806.899808191805,105.08124518661603,5185.830928748464,400.0
-4785.764047553222,35.98046115470936,5206.325160316521,410.0
-4764.088911465703,-33.124378043321684,5226.232617466651,420.0
-4741.876850761477,-102.22548406140525,5245.551065272379,430.0
-4719.130376878372,-171.3150692085525,5264.278335439325,440.0
-4695.852061570767,-240.3853473337377,5282.412326547557,450.0
-4672.0445366136655,-309.42853471048795,5299.95100428624,460.0
-4647.710493499914,-378.43685092108666,5316.892401680545,470.0
-4622.852683130595,-447.40251974028547,5333.2346193108,480.0
-4597.473915498632,-516.3177700184208,5348.975825523851,490.0
-4571.577059365675,-585.1748365638321,5364.114256636625,500.0
-4545.16504193225,-653.9659610244795,5378.648217131844,510.0
-4518.240848501282,-722.6833927686492,5392.576079845916,520.0
-4490.807522134966,-791.3193897646668,5405.896286148931,530.0
-4462.868163305077,-859.8662194594755,5418.607346116781,540.0
-4434.425929536739,-928.3161596560346,5430.707838695373,550.0
-4405.4840350456925,-996.6614993893675,5442.196411856908,560.0
-4376.045750369132,-1064.8945398012143,5453.071782748235,570.0
-4346.114401990122,-1133.0075950131584,5463.3327378312315,580.0
-4315.693371955661,-1200.9929929981336,5472.978133015234,590.0
-4284.786097488445,-1268.8430764502045,5482.006893781475,600.0
-4253.396070592348,-1336.5502036525243,5490.418015299521,610.0
-4221.526837651701,-1404.1067493433725,5498.21056253572,620.0
-4189.181999024402,-1471.5051055801637,5505.383670353625,630.0
-4156.365208628904,-1538.7376826013315,5511.936543606386,640.0
-4123.080173525136,-1605.7969096859817,5517.868457221125,650.0
-4089.3306534894195,-1672.675236011234,5523.178756275256,660.0
-4055.1204605834005,-1739.3651315071256,5527.866856064768,670.0
-4020.453458717083,-1805.8590877089987,5531.932242164452,680.0
-3985.333563206002,-1872.1496186072648,5535.374470480074,690.0
-3949.7647403225874,-1938.2292614944495,5538.193167292489,700.0
-3913.751006841775,-2004.09057780942,5540.388029293694,710.0
-3877.296429580926,-2069.7261539786955,5541.958823614811,720.0
-3840.405124934103,-2135.128602254747,5542.905387846024,730.0
-3803.0812584007585,-2200.2905615511936,5543.227630048432,740.0
-3765.3290441089043,-2265.2046982747866,5542.925528757858,750.0
-3727.1527443327973,-2329.8637071540966,5541.99913298059,760.0
-3688.556669005229,-2394.2603120648073,5540.4485621810745,770.0
-3649.5451752244485,-2458.38726685152,5538.274006261551,780.0
-3610.1226667557967,-2522.237356145971,5535.475725533647,790.0
-3570.2935935281084,-2585.80339618157,5532.054050681935,800.0
-3530.0624511249375,-2649.078235604181,5528.00938271946,810.0
-3489.433780270674,-2712.054756279017,5523.342192935229,820.0
-3448.4121663115993,-2774.7258740936027,5518.053022833711,830.0
-3407.0022386919713,-2837.084539756673,5512.142484066319,840.0
-3365.208670425163,-2899.1237395929456,5505.611258354895,850.0
-3323.036177559957,-2960.836496333655,5498.460097407231,860.0
-3280.489518642029,-3022.2158699027796,5490.689822824608,870.0
-3237.5734941706974,-3083.25495819885,5482.301326001394,880.0
-3194.2929460510154,-3143.946897872267,5473.295568016687,890.0
-3150.65275704124,-3204.2848650980422,5463.673579518061,900.0
-3106.6578501957842,-3264.2620763438495,5453.436460597387,910.0
-3062.313188303675,-3323.8717891333336,5442.585380658761,920.0
-3017.623773322622,-3383.107302804575,5431.121578278591,930.0
-2972.594645808746,-3441.961959263608,5419.046361057807,940.0
-2927.23088434203,-3500.4291437329452,5406.361105466257,950.0
-2881.5376049475794,-3558.5022854949807,5393.067256679286,960.0
-2835.519960512731,-3616.174858630242,5379.166328406543,970.0
-2789.1831402001235,-3673.440382750336,5364.659902713006,980.0
-2742.532368856745,-3730.2924237255897,5349.549629832295,990.0
-2695.572906419084,-3786.724594407217,5333.837227972245,1000.0
-2648.310047314395,-3842.730555344035,5317.524483112816,1010.0
-2600.7491198582143,-3898.304015493513,5300.613248796322,1020.0
-2552.895485648129,-3953.4387329272377,5283.1054459100515,1030.0
-2504.754538953931,-4008.1285155305573,5265.00306246125,1040.0
-2456.331706104184,-4062.3672216964574,5246.308153344567,1050.0
-2407.632444869311,-4116.148761013483,5227.022840101928,1060.0
-2358.662243841232,-4169.467094947736,5207.1493106749085,1070.0
-2309.4266218096723,-4222.316237518777,5186.689819149627,1080.0
-2259.931127135183,-4274.690255969416,5165.646685494176,1090.0
-2210.1813371189505,-4326.5832714293,5144.022295288658,1100.0
-2160.1828573694893,-4377.989459572223,5121.819099447828,1110.0
-2109.941321166254,-4428.903051267089,5099.039613936389,1120.0
-2059.4623888202964,-4479.3183332224535,5075.686419476994,1130.0
-2008.7517470319888,-4529.229648624585,5051.76216125096,1140.0
-1957.8151082459303,-4578.631397768946,5027.269548591757,1150.0
-1906.6582100030819,-4627.518038685075,5002.211354671293,1160.0
-1855.2868142902337,-4675.884087754739,4976.590416179066,1170.0
-1803.7067068868494,-4723.724120323346,4950.409632994162,1180.0
-1751.9236967093868,-4771.032771304519,4923.671967850218,1190.0
-1699.943615153164,-4817.80473577777,4896.380445993321,1200.0
-1647.77231543184,-4864.03476957922,4868.538154832941,1210.0
-1595.4156719146026,-4909.717689885286,4840.148243585894,1220.0
-1542.879579461118,-4954.848375789288,4811.213922913421,1230.0
-1490.169952754346,-4999.4217688709,4781.738464551403,1240.0
-1437.2927256312657,-5043.432873758397,4751.7252009337535,1250.0
-1384.2538504116249,-5086.876758683617,4721.17752480906,1260.0
-1331.0592972247548,-5129.748556029605,4690.098888850491,1270.0
-1277.7150533345607,-5172.043462870872,4658.492805259051,1280.0
-1224.2271224627393,-5213.756741506177,4626.362845360193,1290.0
-1170.6015241103107,-5254.8837199838545,4593.712639193867,1300.0
-1116.8442928775607,-5295.419792619522,4560.545875098045,1310.0
-1062.9614777824263,-5335.360420506233,4526.866299285765,1320.0
-1008.959141577461,-5374.701132016919,4492.677715415769,1330.0
-954.8433600653998,-5413.437523299129,4457.983984156749,1340.0
-900.620221413458,-5451.565258761987,4422.7890227453,1350.0
-846.2958254663841,-5489.08007155534,4387.096804537584,1360.0
-791.8762830584077,-5525.9777640410075,4350.911358554811,1370.0
-737.3677153240959,-5562.254208256131,4314.236769022536,1380.0
-682.7762530082605,-5597.905346368533,4277.077174903885,1390.0
-628.1080357749305,-5632.927191124077,4239.4367694267075,1400.0
-573.3692115155383,-5667.3158262859315,4201.319799604775,1410.0
-518.5659356563251,-5701.067407065749,4162.7305657530105,1420.0
-463.70437046510006,-5734.178160546691,4123.673420996882,1430.0
-408.7906843574181,-5766.644386098225,4084.152770775961,1440.0
-353.83105120221654,-5798.4624557827165,4044.1730723417236,1450.0
-298.8316496270673,-5829.628814753706,4003.738834249677,1460.0
-243.79866232302666,-5860.139981645895,3962.8546158458225,1470.0
-188.7382753492573,-5889.992548956728,3921.525026747569,1480.0
-133.65667743741582,-5919.183183419623,3879.754726319117,1490.0
-78.56005929595266,-5947.708626368719,3837.5484231414016,1500.0
-23.4546129143511,-5975.565694095171,3794.9108744766345,1510.0
31.653469132578866,-6002.751278194931,3751.846885727535,1520.0
86.75799438030013,-6029.262345907978,3708.361309891286,1530.0
141.85277116994823,-6055.095940448975,3664.459047008298,1540.0
196.93160934345974,-6080.249181329311,3620.1450436058353,1550.0
251.98832093834656,-6104.719264670499,3575.4242921365817,1560.0
