x_km,y_km,z_km,tsec
-5189.642218311146,2777.254053438408,3918.462327571027,0.0
-5191.363810016367,2714.6051780817916,3959.8662176265852,10.0
-5192.5001243856495,2651.650256578718,4000.8236700919488,20.0
-5193.051033603925,2588.396386652777,4041.3300676269187,30.0
-5193.016476034625,2524.8506998134985,4081.3808438877745,40.0
-5192.396456226472,2461.020360545681,4120.9714840461265,50.0
-5191.191044912659,2396.9125654949275,4160.097525301832,60.0
-5189.400379002449,2332.534542649504,4198.754557389948,70.0
-5187.0246615651495,2267.8935505186037,4236.938223081614,80.0
-5184.064161806488,2202.9968773071123,4274.644218678869,90.0
-5180.519215037417,2137.851840086989,4311.868294503285,100.0
-5176.390222635281,2072.4657839653332,4348.606255378392,110.0
-5171.67765199744,2006.8460812492615,4384.853961105836,120.0
-5166.38203648728,1941.0001306076704,4420.607326935202,130.0
-5160.503975372661,1874.9353562300032,4455.8623240274665,140.0
-5154.044133756793,1808.6592069821027,4490.614979912001,150.0
-5147.003242501554,1742.179155559261,4524.8613789371,160.0
-5139.3820981432555,1675.5026976365598,4558.597662713951,170.0
-5131.181562800869,1608.637351016601,4591.820030554026,180.0
-5122.402564076733,1541.5906547747356,4624.524739899826,190.0
-5113.046094949718,1474.370168401876,4656.7081067489235,200.0
-5103.113213660926,1406.983470945009,4688.366506071272,210.0
-5092.605043591864,1339.4381601454988,4719.496372219722,220.0
-5081.522773135175,1271.7418515752877,4750.094199333686,230.0
-5069.867655557881,1203.9021777710914,4780.1565417359425,240.0
-5057.641008857217,1135.926787366697,4809.680014322485,250.0
-5044.844215609006,1067.8233442234525,4838.661292945404,260.0
-5031.478722808664,999.5995265590708,4867.097114788756,270.0
-5017.546041704796,931.263026074829,4894.984278737355,280.0
-5003.047747625428,862.8215470812788,4922.319645738471,290.0
-4987.985479796914,794.2828056225649,4949.100139156372,300.0
-4972.360941155493,725.6545285994604,4975.32274511968,310.0
-4956.175898151578,656.9444528912096,5000.984512861508,320.0
-4939.432180546742,588.1603244762958,5026.082555052316,330.0
-4922.1316812034775,519.3098975522294,5050.614048125476,340.0
-4904.2763558677125,450.40093365445625,5074.576232595488,350.0
-4885.8682229441465,381.4412007745013,5097.966413368821,360.0
-4866.909363264403,312.4384724774369,5120.78196004734,370.0
-4847.401919848041,243.4005270187869,5143.020307224291,380.0
-4827.34809765647,174.33514646097345,5164.678954772799,390.0
-4806.75016333976,105.25011578939728,5185.755468126857,400.0
-4785.610444976408,36.15322202826901,5206.247478554768,410.0
-4763.931331806098,-32.94774664371058,5226.152683425021,420.0
-4741.71527395545,-102.04500177772883,5245.468846464546,430.0
-4718.964782156836,-171.13075553916795,5264.193798009356,440.0
-4695.682427460253,-240.19722159177073,5282.325435247508,450.0
-4671.870840938342,-309.23661598153154,5299.861722454392,460.0
-4647.532713384525,-378.2411580202294,5316.800691220296,470.0
-4622.670795004355,-447.2030711684912,5333.140440670238,480.0
-4597.287895100076,-516.1145839182823,5348.879137676028,490.0
-4571.386881748453,-584.9679306747321,5364.0150170605575,500.0
-4544.970681471903,-653.7553526371639,5378.546381794265,510.0
-4518.04227890297,-722.4690986792691,5392.471603183781,520.0
-4490.604716442178,-791.1014262282829,5405.789121052726,530.0
-4462.661093909311,-859.6446021430829,5418.497443914632,540.0
-4434.2145681881675,-928.090903591097,5430.595149137979,550.0
-4405.268352864809,-996.4326189239325,5442.08088310334,560.0
-4375.825717859371,-1064.6620485516019,5452.953361352574,570.0
-4345.889989051486,-1132.7715058152692,5463.211368730127,580.0
-4315.464547899307,-1200.7533178583974,5472.853759516339,590.0
-4284.552831052277,-1268.5998264962036,5481.879457552818,600.0
-4253.158329957589,-1336.303389083318,5490.28745635982,610.0
-4221.284590460449,-1403.8563793795533,5498.076819245649,620.0
-4188.935212398174,-1471.2511884136677,5505.246679408053,630.0
-4156.113849188157,-1538.4802253450478,5511.796240027622,640.0
-4122.824207409771,-1605.5359183231778,5517.724774353152,650.0
-4089.0700463802527,-1672.410715344843,5523.0316257789955,660.0
-4054.855177724622,-1739.0970851088996,5527.71620791439,670.0
-4020.1834649396706,-1805.5875178685892,5531.778004644719,680.0
-3985.058822952103,-1871.8745262812467,5535.216570184771,690.0
-3949.485217670855,-1937.9506462553168,5538.031529123917,700.0
-3913.4666655336573,-2003.8084377945936,5540.2225764632585,710.0
-3877.0072330479,-2069.440485839574,5541.789477644727,720.0
-3840.1110363258426,-2134.839401105831,5542.732068572121,730.0
-3802.78224061424,-2199.997820919302,5543.050255624096,740.0
-3765.0250598184175,-2264.9084100484274,5542.744015659107,750.0
-3726.843756020886,-2329.563861532999,5541.813396012308,760.0
-3688.2426389945235,-2393.956897509655,5540.258514484387,770.0
-3649.226065710387,-2458.0802700339236,5538.079559322379,780.0
-3609.7984398402436,-2521.9267618987037,5535.276789192441,790.0
-3569.964211253827,-2585.4891874491045,5531.850533144576,800.0
-3529.7278755109287,-2648.7603933935616,5527.80119056936,810.0
-3489.0939733483565,-2711.733259611094,5523.129231146638,820.0
-3448.0670901618328,-2774.400699954666,5517.83519478621,830.0
-3406.6518554828904,-2836.7556630505155,5511.919691560534,840.0
-3364.8529424508215,-2898.791133093396,5505.383401629421,850.0
-3322.6750672797607,-2960.500130637598,5498.227075156766,860.0
-3280.1229887209474,-3021.875713383708,5490.451532219326,870.0
-3237.201507520243,-3082.9109769609777,5482.05766270752,880.0
-3193.91546587095,-3143.5990557052414,5473.046426218322,890.0
-3150.2697468620336,-3203.9331234322667,5463.418851940219,900.0
-3106.269273921763,-3263.906394206476,5453.176038530256,910.0
-3061.919010256881,-3323.512123104947,5442.319153983223,920.0
-3017.2239582873412,-3382.743606976581,5430.849435492939,930.0
-2972.189159076695,-3441.59418519639,5418.768189305709,940.0
-2926.8196917581804,-3500.0572404147956,5406.076790565939,950.0
-2881.120672956605,-3558.126199301855,5392.776683153949,960.0
-2835.097256206057,-3615.7945332863433,5378.8693795159925,970.0
-2788.7546313635435,-3673.055759289598,5364.356460486508,980.0
-2742.098024018617,-3729.9034404540384,5349.239575102643,990.0
-2695.1326948990427,-3786.3311868662945,5333.520440411039,1000.0
-2647.863939272599,-3842.3326562748634,5317.200841266942,1010.0
-2600.2970863450746,-3897.9015548021803,5300.282630125643,1020.0
-2552.437498654516,-3953.031637651087,5282.767726826265,1030.0
-2504.290571461833,-4007.7167098055374,5264.658118367966,1040.0
