tsec,az_rad,el_rad
2270.0,5.624229988435458,0.008551853411196542
2280.0,5.626012561528101,0.01947521682138255
2290.0,5.627942654618246,0.030632274309470367
2300.0,5.629916234726138,0.04212100731789351
2310.0,5.632017734743131,0.05391684388470101
2320.0,5.634213642228024,0.06599599927672792
2330.0,5.636512704913285,0.07844253431666749
2340.0,5.638957621416322,0.0912545908677271
2350.0,5.641562137705056,0.10446770660030116
2360.0,5.644268735448041,0.11813120591575604
2370.0,5.647130615292722,0.13225623240319162
2380.0,5.650210649634315,0.1469088787842164
2390.0,5.653457582553884,0.16212348820598937
2400.0,5.6569248433557915,0.17789389322340732
2410.0,5.660690603845154,0.19433322276658554
2420.0,5.664658852199396,0.21148625132027526
2430.0,5.668929039632688,0.22952357288247996
2440.0,5.673601067315047,0.24833898116573808
2450.0,5.678550480803614,0.26814084180388525
2460.0,5.684016537276501,0.28900043058056907
2470.0,5.689909232352194,0.31100123253547657
2480.0,5.696326849784569,0.3343175201928854
2490.0,5.7034987326293605,0.3589918821127538
2500.0,5.711340408736322,0.38533026965334655
2510.0,5.720008412058651,0.41337178969995175
2520.0,5.729701584683454,0.4433994197098509
2530.0,5.740590895732999,0.4755677015561625
2540.0,5.752921003198549,0.5102637491507921
2550.0,5.76700601549367,0.5475568539077901
2560.0,5.783163398120559,0.5878923890347418
2570.0,5.801964379438317,0.6315653120829712
2580.0,5.824011002137345,0.6787869963056568
2590.0,5.850381071423454,0.7299500394493692
2600.0,5.882257108025688,0.7852494190315723
2610.0,5.921621085798592,0.844811830463364
2620.0,5.971184812125804,0.9084993159355679
2630.0,6.0352404463079035,0.9758246038645272
2640.0,6.12034603369218,1.0456172819559957
2650.0,6.236886267723261,1.1154992491662226
2660.0,0.11724134113216199,1.181512574082209
2670.0,0.3471376904417344,1.2363294355770345
2680.0,0.6519186900724974,1.2698322964717959
2690.0,0.9968872518581752,1.272178075972246
2700.0,1.3105362172161075,1.2426524118268478
2710.0,1.550935151260609,1.1902485570530037
2720.0,1.722465456246899,1.1255448304633018
2730.0,1.844426154630557,1.0560556745594993
2740.0,1.933160079842327,0.986332671279775
2750.0,1.9996763498273944,0.9188527321379064
2760.0,2.0509513402941826,0.854866735357801
2770.0,2.091497478035095,0.7949738485697618
2780.0,2.124335275851356,0.7392754378830967
2790.0,2.1513234821692273,0.6877248772242883
2800.0,2.173956064242224,0.6401383395605057
2810.0,2.1931682723412838,0.596159413334614
2820.0,2.209657498658388,0.5555289237338349
2830.0,2.223965951750399,0.5179521305370827
2840.0,2.236526310488621,0.4830857019818769
2850.0,2.2475460197902524,0.45064842903817043
2860.0,2.257412327778103,0.4204610616929619
2870.0,2.266230129264535,0.392225973498772
2880.0,2.2741931356401803,0.3657356804176106
2890.0,2.2814190499505274,0.3408495516898268
2900.0,2.2879345268144253,0.31749135219526736
2910.0,2.2939324613073477,0.295357372192352
2920.0,2.2993950865464545,0.2743984835514499
2930.0,2.3044667273459774,0.25450711440834967
2940.0,2.3091381001076754,0.23559318431570822
2950.0,2.3134722222336963,0.21748557260779774
2960.0,2.317540429084182,0.20026673628850955
2970.0,2.3212730438791174,0.18373100747434612
2980.0,2.3247807371647022,0.16790840284957098
2990.0,2.328079430310285,0.152648051363903
3000.0,2.3311433850747023,0.13795505831890445
3010.0,2.3340592385080847,0.12381368866676878
3020.0,2.336833362006007,0.11005581106891997
3030.0,2.3394131722007954,0.09682104679911305
3040.0,2.3418482134501706,0.08394985655057145
3050.0,2.3441942678109475,0.07147387831334308
3060.0,2.3463984748128013,0.05938772561176962
3070.0,2.3484889597049543,0.04758291599507469
3080.0,2.350519826164881,0.0360470033728756
3090.0,2.3523893425301887,0.024867329983628044
3100.0,2.3542599170473757,0.01390511283159022
3110.0,2.3560078956664645,0.003201486095922438
8190.0,5.6231329110290424,0.0016882357269835523
8200.0,5.624897001844518,0.012455201293673068
8210.0,5.626739782998195,0.023465230459267943
8220.0,5.628621621558909,0.03475676835027101
8230.0,5.630670120643848,0.04637917010408695
8240.0,5.63279993767265,0.058220748556393524
8250.0,5.635043901619488,0.07045024688973213
8260.0,5.6374003641522075,0.08303023215261235
8270.0,5.639889621575424,0.0959756007511875
8280.0,5.642488321583101,0.10934740783903424
8290.0,5.64526230713453,0.12317406814622234
8300.0,5.648210865769822,0.13748831412392748
8310.0,5.651369119296006,0.15236546480739643
8320.0,5.654712945236667,0.16775171520125012
8330.0,5.658297117109151,0.18377088880445258
8340.0,5.662056056226343,0.20047153044698254
8350.0,5.666223363018458,0.21794844053189275
8360.0,5.670575120302307,0.2362239538802465
8370.0,5.675388542882088,0.2553743845732635
8380.0,5.680482099841172,0.27555194586687554
8390.0,5.6861261478566565,0.29678364124291673
8400.0,5.692191086534322,0.3192721580838147
8410.0,5.698862765757031,0.343091535183965
8420.0,5.706209531290354,0.3683053166027228
8430.0,5.714379071050023,0.39523401132031494
8440.0,5.723392677723775,0.4239973824886364
8450.0,5.73353752104467,0.45478206798446
8460.0,5.744915777006338,0.48785662609876257
8470.0,5.757848224992832,0.5234191862248466
8480.0,5.772564210194452,0.561808119592695
8490.0,5.789643263622827,0.6032954478814586
8500.0,5.809526355338229,0.6482110997240172
8510.0,5.833018078079923,0.6968439768445819
8520.0,5.861218804015989,0.7494922187780796
8530.0,5.895553538052594,0.8063299047361151
8540.0,5.938232216560308,0.8674428569167371
8550.0,5.992433732112578,0.9325071795929907
8560.0,6.06321006427043,1.0009114822498775
8570.0,6.15821775460894,1.071082830523372
8580.0,0.006490186553227925,1.1401877707540506
